nombre_mes,nombre_dia,release_year,title,vote_count,vote_average,popularity
mayo,Domingo,1994,Burnt by the Sun,35.0,6.7,2.486073
junio,Jueves,1994,Before the Rain,45.0,7.7,3.525649
enero,Viernes,1995,Before Sunrise,984.0,7.7,11.304979
febrero,Viernes,1995,Billy Madison,464.0,6.2,6.638116
octubre,Martes,1995,The Babysitter,27.0,4.7,2.761837
febrero,Viernes,1995,Boys on the Side,48.0,6.3,3.030309
abril,Viernes,1995,The Cure,58.0,7.2,2.686342
agosto,Viernes,1995,Castle Freak,40.0,5.8,2.26977
marzo,Jueves,1995,Circle of Friends,30.0,6.5,2.605521
septiembre,Martes,1994,Clerks,769.0,7.4,10.513367
octubre,Sábado,1994,Don Juan DeMarco,184.0,6.3,7.438934
diciembre,Viernes,1994,Disclosure,217.0,5.9,11.812244
enero,Domingo,1995,Dream Man,1.0,2.5,0.155859
diciembre,Jueves,1994,Drop Zone,91.0,5.1,9.579155
abril,Viernes,1995,Destiny Turns on the Radio,9.0,5.3,0.710671
mayo,Miércoles,1994,Death and the Maiden,92.0,7.1,5.484156
marzo,Viernes,1995,Dolores Claiborne,183.0,7.1,5.8025
diciembre,Viernes,1994,Dumb and Dumber,1894.0,6.5,9.844558
agosto,Miércoles,1994,Eat Drink Man Woman,76.0,7.5,4.860016
septiembre,Sábado,1994,Exotica,64.0,6.5,5.378467
octubre,Viernes,1994,Exit to Eden,28.0,4.3,4.322726
septiembre,Martes,1994,Ed Wood,639.0,7.3,11.720358
mayo,Viernes,1995,French Kiss,179.0,6.2,9.146544
mayo,Viernes,1995,Forget Paris,38.0,6.1,16.236745
enero,Viernes,1995,Far from Home: The Adventures of Yellow Dog,27.0,5.6,2.657337
abril,Viernes,1995,A Goofy Movie,404.0,6.7,10.177977
marzo,Viernes,1995,Hideaway,24.0,5.0,8.182165
junio,Viernes,1995,Fluke,48.0,6.6,4.953936
diciembre,Miércoles,1994,Farinelli,20.0,5.9,8.935058
mayo,Viernes,1995,Gordy,4.0,3.0,0.398924
diciembre,Viernes,1995,Gumby: The Movie,2.0,5.0,0.090452
septiembre,Viernes,1994,The Glass Shield,9.0,5.4,1.012197
septiembre,Lunes,1994,Hoop Dreams,91.0,7.7,9.47666
septiembre,Viernes,1994,Heavenly Creatures,299.0,6.9,9.438042
enero,Viernes,1995,Houseguest,17.0,6.0,2.688562
diciembre,Viernes,1994,Immortal Beloved,90.0,6.9,7.983666
febrero,Viernes,1995,Heavyweights,97.0,6.0,9.546707
febrero,Viernes,1995,The Hunted,25.0,6.0,2.756986
diciembre,Sábado,1994,I.Q.,112.0,5.9,5.146352
noviembre,Viernes,1994,Interview with the Vampire,1558.0,7.2,11.970205
marzo,Viernes,1995,Jefferson in Paris,10.0,5.2,1.596058
febrero,Viernes,1995,The Jerky Boys,10.0,4.8,0.748846
noviembre,Martes,1994,Junior,381.0,4.7,6.710215
febrero,Viernes,1995,Just Cause,124.0,6.0,9.195256
agosto,Viernes,1995,A Kid in King Arthur's Court,40.0,4.3,5.874511
abril,Viernes,1995,Kiss of Death,83.0,5.7,7.797512
mayo,Miércoles,1977,Star Wars,6778.0,8.1,42.149697
diciembre,Miércoles,1994,Little Women,222.0,7.0,9.774994
mayo,Miércoles,1995,A Little Princess,207.0,7.4,7.731725
febrero,Viernes,1994,Ladybird Ladybird,14.0,7.4,0.84508
febrero,Miércoles,1994,L'Enfer,22.0,6.6,1.948315
abril,Jueves,1992,Like Water for Chocolate,70.0,6.6,4.126083
diciembre,Viernes,1994,Legends of the Fall,636.0,7.2,12.199047
marzo,Viernes,1995,Major Payne,164.0,6.1,9.253362
octubre,Jueves,1994,Little Odessa,31.0,6.4,1.861292
junio,Miércoles,1994,Mi Vida Loca,9.0,5.7,1.788829
octubre,Viernes,1994,Love Affair,11.0,4.3,3.290192
marzo,Viernes,1995,Losing Isaiah,28.0,6.4,7.698526
diciembre,Miércoles,1994,The Madness of King George,67.0,6.7,4.81307
noviembre,Viernes,1994,Mary Shelley's Frankenstein,272.0,6.1,14.287753
marzo,Viernes,1995,Man of the House,40.0,5.1,2.558118
diciembre,Miércoles,1994,Mixed Nuts,37.0,5.2,2.899608
agosto,Miércoles,1994,Milk Money,49.0,5.6,3.770115
noviembre,Viernes,1994,Miracle on 34th Street,199.0,6.4,5.831622
enero,Viernes,1995,Miami Rhapsody,7.0,5.6,1.137266
mayo,Miércoles,1995,My Family,11.0,7.0,3.121288
enero,Viernes,1995,Murder in the First,140.0,6.9,9.518564
diciembre,Viernes,1994,Nobody's Fool,56.0,7.0,2.891269
diciembre,Viernes,1994,Nell,128.0,6.1,5.930957
abril,Miércoles,1995,New Jersey Drive,7.0,6.9,0.629955
agosto,Sábado,1993,New York Cop,0.0,0.0,0.004537
abril,Viernes,1994,Beyond Bedlam,4.0,4.0,0.426952
septiembre,Martes,1995,Nemesis 2 - Nebula,10.0,4.6,1.466491
marzo,Viernes,1995,Nina Takes a Lover,4.0,7.4,0.769522
agosto,Jueves,1994,Natural Born Killers,927.0,6.9,11.226856
septiembre,Sábado,1994,Only You,92.0,6.4,4.936761
septiembre,Viernes,1994,Once Were Warriors,106.0,7.6,4.025276
enero,Martes,1996,Poison Ivy II: Lily,32.0,4.6,6.448039
marzo,Viernes,1995,Outbreak,522.0,6.4,13.676444
septiembre,Miércoles,1994,Leon: The Professional,4293.0,8.2,20.477329
mayo,Viernes,1995,The Perez Family,9.0,6.6,1.433544
abril,Viernes,1995,A Pyromaniac's Love Story,2.0,7.0,0.463307
septiembre,Sábado,1994,Pulp Fiction,8670.0,8.3,140.950236
noviembre,Viernes,1995,Panther,6.0,6.4,7.160149
febrero,Sábado,1992,Pushing Hands,9.0,6.1,1.638622
enero,Sábado,1994,Priest,32.0,6.4,1.881932
septiembre,Viernes,1994,Quiz Show,262.0,7.1,7.772505
mayo,Viernes,1995,Picture Bride,5.0,7.4,1.296912
mayo,Viernes,1994,Queen Margot,67.0,7.0,4.405405
febrero,Jueves,1995,The Quick and the Dead,431.0,6.2,7.54701
marzo,Miércoles,1995,Roommates,7.0,6.4,3.395867
diciembre,Viernes,1994,Prêt-à-Porter,33.0,5.3,6.259433
mayo,Viernes,1994,Three Colors: Red,246.0,7.8,7.832755
enero,Domingo,1993,Three Colors: Blue,311.0,7.7,8.843517
enero,Miércoles,1994,Three Colors: White,218.0,7.3,6.5898
octubre,Viernes,1994,"Red Firecracker, Green Firecracker",2.0,7.0,0.078257
enero,Domingo,1995,Rent-a-Kid,15.0,5.1,1.155255
octubre,Martes,1995,Relative Fear,3.0,4.7,0.499601
abril,Miércoles,1995,Stuart Saves His Family,6.0,5.0,1.390885
noviembre,Viernes,1994,The Swan Princess,251.0,6.5,8.910462
enero,Sábado,1994,The Secret of Roan Inish,15.0,6.1,1.750481
octubre,Viernes,1994,The Specialist,317.0,5.5,10.388183
octubre,Jueves,1994,Stargate,942.0,6.8,13.328924
noviembre,Jueves,1994,The Santa Clause,501.0,6.3,9.665424
septiembre,Viernes,1994,The Shawshank Redemption,8358.0,8.5,51.645403
diciembre,Jueves,1994,Shallow Grave,247.0,7.0,8.223026
septiembre,Martes,1993,Suture,7.0,6.0,1.298224
enero,Viernes,1993,Strawberry and Chocolate,16.0,7.1,1.777197
septiembre,Sábado,1994,Swimming with Sharks,104.0,6.7,5.869261
julio,Martes,1994,The Sum of Us,21.0,6.0,1.407427
septiembre,Viernes,1995,Senior Trip,23.0,5.7,5.05806
junio,Jueves,1994,To Live,62.0,7.7,5.260627
marzo,Viernes,1995,Tank Girl,140.0,5.5,7.602087
enero,Viernes,1995,Tales from the Crypt: Demon Knight,96.0,6.7,9.455342
noviembre,Jueves,1994,Star Trek: Generations,461.0,6.4,8.105708
mayo,Miércoles,1995,Tales from the Hood,33.0,5.4,2.86007
abril,Viernes,1994,Tom & Viv,8.0,5.8,0.704204
abril,Viernes,1995,Village of the Damned,165.0,5.6,6.529879
marzo,Viernes,1995,Tommy Boy,321.0,6.8,11.971318
septiembre,Martes,1994,Vanya on 42nd Street,15.0,6.1,7.039846
abril,Viernes,1995,The Underneath,15.0,5.6,2.059771
febrero,Viernes,1995,The Walking Dead,4.0,6.6,0.620873
diciembre,Viernes,1993,What's Eating Gilbert Grape,943.0,7.5,10.3919
agosto,Viernes,1995,Virtuosity,163.0,5.4,5.188399
abril,Viernes,1995,While You Were Sleeping,340.0,6.5,15.783615
noviembre,Viernes,1994,The War,39.0,6.3,3.908596
septiembre,Miércoles,1994,Double Happiness,2.0,5.5,0.372239
septiembre,Jueves,1994,Muriel's Wedding,104.0,6.9,5.254847
agosto,Viernes,1995,The Baby-Sitters Club,23.0,5.3,2.15805
febrero,Viernes,1994,Ace Ventura: Pet Detective,1684.0,6.4,11.247957
mayo,Martes,1994,"The Adventures of Priscilla, Queen of the Desert",174.0,7.2,8.328596
abril,Viernes,1994,Backbeat,37.0,6.2,2.487951
septiembre,Miércoles,1992,Bitter Moon,115.0,7.0,11.298195
octubre,Viernes,1994,Bullets Over Broadway,130.0,7.0,5.72288
agosto,Miércoles,1994,Clear and Present Danger,390.0,6.4,7.513245
julio,Miércoles,1994,The Client,287.0,6.4,15.263829
agosto,Viernes,1994,"Corrina, Corrina",83.0,6.4,6.924689
mayo,Viernes,1994,Crooklyn,31.0,6.7,2.533022
mayo,Miércoles,1994,The Crow,980.0,7.3,15.799336
diciembre,Viernes,1994,Cobb,29.0,6.1,2.583363
mayo,Jueves,1994,The Flintstones,559.0,5.0,15.019586
julio,Miércoles,1994,Forrest Gump,8147.0,8.2,48.307194
marzo,Miércoles,1994,Four Weddings and a Funeral,654.0,6.6,8.990345
enero,Miércoles,1995,Higher Learning,49.0,6.4,7.817811
octubre,Viernes,1994,I Like It Like That,4.0,6.3,0.289295
junio,Miércoles,1994,I Love Trouble,41.0,5.3,3.570874
julio,Viernes,1994,It Could Happen to You,154.0,6.1,11.272073
diciembre,Viernes,1994,The Jungle Book,107.0,5.9,10.714235
septiembre,Sábado,1993,"The Wonderful, Horrible Life of Leni Riefenstahl",5.0,7.3,0.568884
junio,Jueves,1994,The Lion King,5520.0,8.0,21.605761
diciembre,Miércoles,1993,Little Buddha,76.0,6.0,5.681522
octubre,Jueves,1994,New Nightmare,297.0,6.4,9.860522
julio,Viernes,1994,The Mask,2550.0,6.6,14.13488
mayo,Viernes,1994,Maverick,490.0,6.6,15.050326
septiembre,Miércoles,1994,Mrs. Parker and the Vicious Circle,20.0,6.3,4.739054
marzo,Viernes,1994,The Naked Gun 33⅓: The Final Insult,535.0,6.4,10.587232
marzo,Viernes,1994,The Paper,40.0,6.1,4.006063
febrero,Viernes,1994,Reality Bites,180.0,6.5,6.514592
julio,Jueves,1993,Red Rock West,71.0,6.4,5.137903
diciembre,Lunes,1994,Ri¢hie Ri¢h,426.0,5.4,6.595255
diciembre,Jueves,1994,Safe Passage,7.0,4.9,4.931565
septiembre,Viernes,1994,The River Wild,214.0,6.1,10.511241
junio,Jueves,1994,Speed,1814.0,6.8,10.859292
diciembre,Viernes,1994,Speechless,24.0,5.5,2.334226
septiembre,Jueves,1994,Timecop,288.0,5.5,8.907074
julio,Jueves,1994,True Lies,1138.0,6.8,11.396099
abril,Viernes,1994,When a Man Loves a Woman,71.0,6.0,4.322544
junio,Viernes,1994,Wolf,221.0,6.0,14.063845
junio,Viernes,1994,Wyatt Earp,203.0,6.5,9.277147
enero,Viernes,1995,Bad Company,12.0,4.9,0.912415
diciembre,Jueves,1994,A Man of No Importance,2.0,6.5,0.406113
septiembre,Jueves,1994,S.F.W.,22.0,6.1,2.504529
noviembre,Miércoles,1994,A Low Down Dirty Shame,31.0,6.0,3.021526
septiembre,Viernes,1994,"Boys Life: Three Stories of Love, Lust, and Liberation",1.0,2.0,0.054148
enero,Sábado,1994,Colonel Chabert,9.0,5.9,0.934312
agosto,Viernes,1965,"Faster, Pussycat! Kill! Kill!",59.0,6.5,4.220541
septiembre,Miércoles,1994,Jason's Lyric,9.0,5.9,0.912909
diciembre,Viernes,1993,The Secret Adventures of Tom Thumb,8.0,7.1,0.381704
diciembre,Jueves,1994,Street Fighter,330.0,4.1,13.58449
septiembre,Viernes,1995,Coldblooded,13.0,6.7,2.342756
diciembre,Miércoles,1997,Desert Winds,0.0,0.0,0.251223
mayo,Sábado,1995,Fall Time,6.0,6.3,1.108494
enero,Viernes,1995,The Fear,7.0,3.4,0.268043
octubre,Viernes,1995,Frank and Ollie,4.0,7.5,0.142357
octubre,Martes,1995,Girl in the Cadillac,1.0,10.0,0.405392
mayo,Miércoles,1995,Homage,0.0,0.0,0.014925
noviembre,Martes,1995,Mirage,1.0,4.0,0.302957
mayo,Viernes,1996,Open Season,0.0,0.0,0.012456
mayo,Viernes,1995,Dos Crímenes,1.0,5.0,0.233376
marzo,Miércoles,1995,Brother Minister: The Assassination of Malcolm X,1.0,4.0,0.0368
noviembre,Martes,1994,Highlander: The Final Dimension,110.0,4.5,6.866634
febrero,Viernes,1995,Federal Hill,2.0,5.0,0.100685
diciembre,Lunes,1994,In the Mouth of Madness,307.0,7.1,8.497643
febrero,Viernes,1994,8 Seconds,22.0,7.2,1.888534
marzo,Miércoles,1994,Above the Rim,40.0,6.7,4.38154
noviembre,Viernes,1993,Addams Family Values,537.0,6.5,17.555909
abril,Miércoles,1994,Martin Lawrence: You So Crazy,4.0,4.5,0.394194
septiembre,Viernes,1993,The Age of Innocence,172.0,7.0,8.013617
agosto,Viernes,1994,Airheads,222.0,5.8,7.09232
enero,Viernes,1994,The Air Up There,42.0,5.1,1.896273
julio,Jueves,1993,Another Stakeout,58.0,4.9,12.967239
abril,Viernes,1994,Bad Girls,61.0,4.6,14.644772
