id,nombre_mes,nombre_dia,release_year,release_date,title,vote_count,revenue,budget,vote_average,popularity,return
902,mayo,Martes,1995,1995-05-16,The City of Lost Children,308.0,1738611.0,18000000.0,7.6,9.822423,0.0965895
37557,abril,Domingo,1995,1995-04-30,Shanghai Triad,17.0,0.0,0.0,6.5,1.100915,0.0
9909,agosto,Viernes,1995,1995-08-11,Dangerous Minds,249.0,180000000.0,0.0,6.4,9.481338,0.0
63,diciembre,Viernes,1995,1995-12-29,Twelve Monkeys,2470.0,168840000.0,29500000.0,7.4,12.297305,5.7233898305084745
78802,septiembre,Miércoles,1996,1996-09-18,Wings of Courage,4.0,0.0,0.0,6.8,0.745542,0.0
9598,julio,Martes,1995,1995-07-18,Babe,756.0,254134910.0,30000000.0,6.0,14.404764,8.471163666666667
47018,noviembre,Miércoles,1995,1995-11-08,Carrington,16.0,0.0,0.0,6.4,1.493361,0.0
687,diciembre,Viernes,1995,1995-12-29,Dead Man Walking,350.0,39363635.0,11000000.0,7.3,6.891317,3.5785122727272727
139405,octubre,Viernes,1995,1995-10-20,Across the Sea of Time,2.0,0.0,0.0,3.5,0.114469,0.0
33689,noviembre,Viernes,1995,1995-11-17,It Takes Two,149.0,0.0,0.0,6.1,7.777735,0.0
9603,julio,Miércoles,1995,1995-07-19,Clueless,828.0,0.0,12000000.0,6.9,9.882383,0.0
34615,diciembre,Viernes,1995,1995-12-15,"Cry, the Beloved Country",13.0,676525.0,0.0,6.7,0.894647,0.0
31174,diciembre,Viernes,1995,1995-12-29,Richard III,50.0,0.0,0.0,6.9,4.561387,0.0
11443,octubre,Viernes,1995,1995-10-06,Dead Presidents,80.0,0.0,10000000.0,6.6,9.87957,0.0
35196,diciembre,Viernes,1995,1995-12-29,Restoration,30.0,0.0,19000000.0,6.3,10.979269,0.0
9312,agosto,Viernes,1995,1995-08-18,Mortal Kombat,452.0,122195920.0,18000000.0,5.4,10.870138,6.788662222222222
577,mayo,Sábado,1995,1995-05-20,To Die For,177.0,21284514.0,20000000.0,6.7,10.448481,1.0642257
11861,octubre,Viernes,1995,1995-10-06,How To Make An American Quilt,38.0,23574130.0,10000000.0,6.5,4.485958,2.357413
807,septiembre,Viernes,1995,1995-09-22,Se7en,5915.0,327311859.0,33000000.0,8.1,18.45743,9.918541181818181
10530,junio,Miércoles,1995,1995-06-14,Pocahontas,1509.0,346079773.0,55000000.0,6.7,13.280069,6.292359509090909
8391,mayo,Viernes,1995,1995-05-05,When Night Is Falling,10.0,0.0,0.0,5.9,3.302524,0.0
629,julio,Miércoles,1995,1995-07-19,The Usual Suspects,3334.0,23341568.0,6000000.0,8.1,16.302466,3.890261333333333
117164,noviembre,Martes,1994,1994-11-22,Guardian Angel,3.0,0.0,0.0,6.3,0.595949,0.0
11448,septiembre,Miércoles,1995,1995-09-13,Mighty Aphrodite,145.0,6700000.0,15000000.0,6.7,15.899134,0.44666666666666666
49133,enero,Sábado,1994,1994-01-01,Lamerica,11.0,0.0,0.0,7.7,1.361286,0.0
26441,septiembre,Viernes,1995,1995-09-29,The Big Green,41.0,0.0,0.0,5.2,5.982764,0.0
97406,mayo,Viernes,1995,1995-05-19,Georgia,15.0,0.0,0.0,6.1,4.093443,0.0
124057,julio,Martes,1997,1997-07-08,Kids of the Round Table,1.0,0.0,0.0,3.0,0.307075,0.0
9089,noviembre,Jueves,1995,1995-11-02,Home for the Holidays,39.0,17519169.0,0.0,6.3,8.416802,0.0
11010,septiembre,Jueves,1994,1994-09-22,The Postman,181.0,0.0,0.0,7.6,10.168437,0.0
99040,septiembre,Viernes,1995,1995-09-29,The Confessional,2.0,0.0,0.0,6.5,0.120789,0.0
11359,julio,Viernes,1995,1995-07-14,The Indian in the Cupboard,136.0,0.0,45000000.0,5.9,10.673296,0.0
17182,enero,Viernes,1996,1996-01-12,Eye for an Eye,65.0,0.0,20000000.0,5.8,4.733526,0.0
2054,diciembre,Viernes,1995,1995-12-29,Mr. Holland's Opus,115.0,106269971.0,0.0,6.9,7.137117,0.0
10607,enero,Viernes,1996,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,0.0,0.0,6.2,11.700115,0.0
19760,enero,Viernes,1996,1996-01-12,Two If by Sea,14.0,0.0,0.0,4.5,2.174487,0.0
9536,enero,Viernes,1996,1996-01-12,Bio-Dome,110.0,0.0,15000000.0,4.4,6.387469,0.0
11525,enero,Viernes,1996,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,32.0,2409225.0,0.0,2.8,2.49535,0.0
40628,octubre,Domingo,1995,1995-10-22,Two Bits,11.0,0.0,0.0,5.4,4.046208,0.0
4482,febrero,Miércoles,1995,1995-02-08,French Twist,43.0,0.0,0.0,6.0,2.518051,0.0
10634,abril,Miércoles,1995,1995-04-26,Friday,513.0,28215918.0,3500000.0,7.0,14.56965,8.061690857142857
755,enero,Viernes,1996,1996-01-19,From Dusk Till Dawn,1644.0,25836616.0,19000000.0,6.9,15.339153,1.3598218947368421
11859,noviembre,Viernes,1995,1995-11-03,Fair Game,54.0,11534477.0,50000000.0,4.1,5.912223,0.23068954
28387,octubre,Viernes,1995,1995-10-06,Kicking and Screaming,36.0,718490.0,0.0,7.0,3.367276,0.0
48750,marzo,Miércoles,1995,1995-03-22,Les Miserables,8.0,0.0,0.0,6.6,1.479446,0.0
20927,enero,Viernes,1996,1996-01-26,Bed of Roses,27.0,19030691.0,0.0,5.1,10.412194,0.0
36929,enero,Viernes,1996,1996-01-26,Big Bully,16.0,2042530.0,15000000.0,3.9,2.936443,0.13616866666666666
9102,septiembre,Viernes,1995,1995-09-08,Screamers,154.0,5781885.0,20000000.0,6.1,12.758848,0.28909425
124626,febrero,Sábado,1995,1995-02-18,Nico Icon,3.0,0.0,0.0,7.3,0.133893,0.0
27526,noviembre,Miércoles,1995,1995-11-15,The Crossing Guard,74.0,0.0,0.0,6.1,5.756462,0.0
9623,febrero,Viernes,1996,1996-02-02,The Juror,91.0,0.0,44000000.0,5.5,6.010579,0.0
46785,enero,Domingo,1995,1995-01-01,The White Balloon,20.0,0.0,0.0,7.5,1.196256,0.0
400,diciembre,Viernes,1995,1995-12-01,Things to Do in Denver When You're Dead,87.0,529766.0,8000000.0,6.7,4.486179,0.06622075
880,septiembre,Martes,1995,1995-09-12,Antonia's Line,26.0,0.0,900000.0,7.2,2.030174,0.0
146599,enero,Viernes,1996,1996-01-26,Once Upon a Time... When We Were Colored,2.0,0.0,0.0,4.5,0.252287,0.0
188588,noviembre,Miércoles,1995,1995-11-22,Last Summer in the Hamptons,0.0,0.0,0.0,0.0,0.531159,0.0
8447,septiembre,Domingo,1995,1995-09-10,Angels and Insects,17.0,0.0,0.0,6.3,2.15166,0.0
10534,febrero,Viernes,1996,1996-02-02,White Squall,86.0,10300000.0,38000000.0,6.3,9.568604,0.2710526315789474
17414,enero,Viernes,1996,1996-01-12,Dunston Checks In,59.0,0.0,16000000.0,5.1,4.814825,0.0
13997,febrero,Jueves,1996,1996-02-01,Black Sheep,124.0,32.0,0.0,6.0,8.963037,0.0
2086,noviembre,Miércoles,1995,1995-11-22,Nick of Time,190.0,8175346.0,8169363.0,6.1,6.848591,1.000732370443081
61548,septiembre,Jueves,1995,1995-09-14,The Journey of August King,3.0,0.0,0.0,6.7,0.411424,0.0
9095,febrero,Viernes,1996,1996-02-23,Mary Reilly,77.0,12379402.0,47000000.0,5.7,12.866139,0.2633915319148936
12158,octubre,Jueves,1995,1995-10-26,Vampire in Brooklyn,113.0,19800000.0,14000000.0,4.5,9.071127,1.4142857142857144
9283,febrero,Viernes,1996,1996-02-09,Beautiful Girls,103.0,0.0,0.0,6.6,4.670562,0.0
9208,febrero,Viernes,1996,1996-02-09,Broken Arrow,459.0,150270147.0,50000000.0,5.7,14.957626,3.00540294
40154,diciembre,Viernes,1995,1995-12-01,A Midwinter's Tale,6.0,0.0,0.0,7.5,0.513391,0.0
406,mayo,Miércoles,1995,1995-05-31,La Haine,695.0,0.0,3000000.0,7.9,12.108196,0.0
45549,diciembre,Martes,1994,1994-12-06,Shopping,13.0,0.0,0.0,5.6,2.657647,0.0
63076,diciembre,Miércoles,1995,1995-12-27,Heidi Fleiss: Hollywood Madam,4.0,0.0,0.0,6.8,0.638211,0.0
11062,febrero,Viernes,1996,1996-02-16,City Hall,67.0,0.0,0.0,6.0,4.807223,0.0
13685,febrero,Miércoles,1996,1996-02-21,Bottle Rocket,285.0,560069.0,7000000.0,6.8,6.904831,0.08000985714285715
47475,febrero,Viernes,1996,1996-02-16,Mr. Wrong,16.0,0.0,0.0,3.3,3.329264,0.0
2045,febrero,Viernes,1996,1996-02-23,Unforgettable,22.0,0.0,18000000.0,5.3,2.464425,0.0
9614,febrero,Viernes,1996,1996-02-16,Happy Gilmore,767.0,41205099.0,12000000.0,6.5,9.592265,3.43375825
688,mayo,Domingo,1995,1995-05-28,The Bridges of Madison County,397.0,182016617.0,24000000.0,7.3,5.951077,7.584025708333333
11907,noviembre,Lunes,1994,1994-11-07,Nobody Loves Me,5.0,0.0,0.0,5.1,1.015068,0.0
10874,febrero,Viernes,1996,1996-02-16,Muppet Treasure Island,93.0,34327391.0,0.0,6.5,6.902423,0.0
89333,diciembre,Viernes,1995,1995-12-08,Catwalk,2.0,0.0,0.0,7.0,0.976707,0.0
96357,mayo,Sábado,1995,1995-05-20,Headless Body in Topless Bar,0.0,0.0,0.0,0.0,0.001346,0.0
197,mayo,Miércoles,1995,1995-05-24,Braveheart,3404.0,210000000.0,72000000.0,7.7,20.755149,2.9166666666666665
103,febrero,Sábado,1976,1976-02-07,Taxi Driver,2632.0,28262574.0,1300000.0,8.1,14.092713,21.74044153846154
33542,enero,Lunes,1995,1995-01-30,Rumble in the Bronx,245.0,32392047.0,7500000.0,6.5,12.314278,4.3189396
43566,febrero,Viernes,1996,1996-02-23,Before and After,37.0,0.0,35000000.0,5.8,2.938293,0.0
71754,septiembre,Miércoles,1995,1995-09-13,Margaret's Museum,2.0,0.0,0.0,7.5,0.372697,0.0
43612,enero,Martes,1995,1995-01-31,Happiness Is in the Field,23.0,0.0,13365000.0,7.0,1.254885,0.0
51352,junio,Jueves,1995,1995-06-08,Anne Frank Remembered,4.0,1.0,0.0,7.3,0.243986,0.0
16934,enero,Viernes,1995,1995-01-20,The Young Poisoner's Handbook,19.0,0.0,0.0,6.9,6.178497,0.0
10324,marzo,Viernes,1996,1996-03-08,If Lucy Fell,11.0,0.0,0.0,5.4,2.891918,0.0
78406,septiembre,Viernes,1995,1995-09-29,Steal Big Steal Little,7.0,6278139.0,25000000.0,5.1,1.522412,0.25112556
55731,marzo,Viernes,1996,1996-03-22,Race the Sun,21.0,0.0,0.0,5.2,1.317878,0.0
32119,diciembre,Domingo,1992,1992-12-06,The Boys of St. Vincent,7.0,0.0,0.0,7.0,0.86539,0.0
11066,junio,Martes,1992,1992-06-30,Boomerang,139.0,70100000.0,40000000.0,5.4,6.506983,1.7525
11104,julio,Jueves,1994,1994-07-14,Chungking Express,249.0,0.0,0.0,7.9,6.778979,0.0
37975,septiembre,Jueves,1995,1995-09-21,The Star Maker,29.0,0.0,0.0,6.8,1.702639,0.0
2074,marzo,Viernes,1996,1996-03-22,Flirting with Disaster,66.0,14702438.0,7000000.0,6.3,5.579088,2.100348285714286
27793,octubre,Miércoles,1994,1994-10-26,The Neverending Story III: Escape from Fantasia,105.0,0.0,17000000.0,4.4,6.252377,0.0
44284,septiembre,Viernes,1994,1994-09-30,The Silences of the Palace,3.0,0.0,0.0,4.3,0.406754,0.0
290157,enero,Domingo,1995,1995-01-01,Jupiter's Wife,0.0,0.0,0.0,0.0,0.001178,0.0
110972,febrero,Viernes,1996,1996-02-09,Pie in the Sky,2.0,0.0,0.0,7.0,0.699066,0.0
32622,enero,Domingo,1995,1995-01-01,Angela,9.0,0.0,0.0,5.6,2.197439,0.0
73067,noviembre,Miércoles,1995,1995-11-22,Frankie Starlight,4.0,0.0,0.0,5.4,0.637554,0.0
11863,octubre,Viernes,1995,1995-10-13,Jade,45.0,9851610.0,50000000.0,5.1,11.418917,0.1970322
55475,agosto,Miércoles,1995,1995-08-16,Nueba Yol,1.0,0.0,0.0,5.5,0.291021,0.0
124636,agosto,Martes,1995,1995-08-01,Sonic Outlaws,0.0,0.0,0.0,0.0,0.001838,0.0
9101,marzo,Viernes,1996,1996-03-01,Down Periscope,110.0,0.0,0.0,5.6,5.184977,0.0
123360,septiembre,Viernes,1995,1995-09-08,From the Journals of Jean Seberg,2.0,0.0,0.0,6.5,0.276401,0.0
5757,septiembre,Viernes,1995,1995-09-15,Man of the Year,2.0,209935.0,0.0,3.8,0.540436,0.0
39428,agosto,Miércoles,1995,1995-08-23,The Neon Bible,5.0,0.0,0.0,7.2,0.370342,0.0
124639,agosto,Martes,1995,1995-08-01,Target,0.0,0.0,0.0,0.0,0.001205,0.0
9302,marzo,Viernes,1996,1996-03-01,Up Close & Personal,51.0,0.0,60000000.0,5.9,3.402749,0.0
11000,marzo,Viernes,1996,1996-03-08,The Birdcage,303.0,185260553.0,31000000.0,6.7,6.49968,5.976146870967742
249882,octubre,Jueves,1995,1995-10-12,Virgin Mary,2.0,0.0,0.0,7.0,0.918504,0.0
16388,agosto,Miércoles,1995,1995-08-09,The Brothers McMullen,23.0,0.0,0.0,6.3,2.039196,0.0
9737,abril,Viernes,1995,1995-04-07,Bad Boys,1729.0,141407024.0,19000000.0,6.5,9.262184,7.442474947368421
30765,agosto,Viernes,1995,1995-08-25,The Amazing Panda Adventure,31.0,0.0,0.0,5.0,2.375865,0.0
10474,abril,Viernes,1995,1995-04-21,The Basketball Diaries,472.0,0.0,0.0,7.2,7.415144,0.0
22279,julio,Viernes,1995,1995-07-21,An Awfully Big Adventure,11.0,851545.0,4000000.0,6.0,0.922958,0.21288625
30157,agosto,Viernes,1994,1994-08-05,Amateur,21.0,0.0,0.0,6.5,1.759012,0.0
568,junio,Viernes,1995,1995-06-30,Apollo 13,1637.0,355237933.0,52000000.0,7.3,18.761467,6.831498711538462
11780,abril,Jueves,1995,1995-04-13,Rob Roy,151.0,31596911.0,28000000.0,6.5,10.193549,1.1284611071428572
34996,enero,Martes,1995,1995-01-10,The Addiction,46.0,0.0,0.0,6.4,3.137285,0.0
414,junio,Viernes,1995,1995-06-16,Batman Forever,1529.0,336529144.0,100000000.0,5.2,13.321354,3.36529144
649,mayo,Miércoles,1967,1967-05-24,Belle de Jour,163.0,0.0,0.0,7.3,10.142662,0.0
1873,mayo,Miércoles,1995,1995-05-24,Beyond Rangoon,21.0,0.0,0.0,6.4,2.04189,0.0
5894,septiembre,Viernes,1995,1995-09-15,Blue in the Face,28.0,1275000.0,2000000.0,6.8,11.528147,0.6375
1775,junio,Jueves,1995,1995-06-08,Canadian Bacon,57.0,178104.0,11000000.0,5.9,5.391556,0.016191272727272728
8839,mayo,Viernes,1995,1995-05-26,Casper,1045.0,287928194.0,50000000.0,6.0,12.812539,5.75856388
20649,septiembre,Viernes,1995,1995-09-15,Clockers,69.0,13071518.0,25000000.0,6.8,4.558992,0.52286072
10329,junio,Viernes,1995,1995-06-09,Congo,214.0,152022101.0,50000000.0,5.0,7.260574,3.04044202
8963,mayo,Viernes,1995,1995-05-12,Crimson Tide,508.0,157387195.0,53000000.0,7.0,8.657365,2.969569716981132
26564,septiembre,Sábado,1994,1994-09-10,Crumb,71.0,3174695.0,0.0,7.6,3.620388,0.0
8068,agosto,Viernes,1995,1995-08-25,Desperado,898.0,25405445.0,7000000.0,6.8,6.950458,3.6293492857142855
8512,septiembre,Viernes,1995,1995-09-15,Devil in a Blue Dress,88.0,16140822.0,27000000.0,6.3,4.646132,0.5978082222222222
1572,mayo,Viernes,1995,1995-05-19,Die Hard: With a Vengeance,2094.0,366101666.0,90000000.0,6.9,15.138855,4.067796288888889
13552,octubre,Viernes,1995,1995-10-27,The Doom Generation,57.0,0.0,0.0,5.6,7.120806,0.0
259209,octubre,Jueves,1995,1995-10-12,Feast of July,0.0,0.0,0.0,0.0,0.523575,0.0
6520,julio,Viernes,1995,1995-07-07,First Knight,319.0,127600435.0,55000000.0,5.9,15.178338,2.320007909090909
9073,julio,Miércoles,1995,1995-07-19,Free Willy 2 - The Adventure Home,130.0,0.0,0.0,5.5,7.575098,0.0
10428,septiembre,Jueves,1995,1995-09-14,Hackers,406.0,7563728.0,20000000.0,6.2,14.810519,0.3781864
17447,agosto,Viernes,1995,1995-08-18,Jeffrey,19.0,0.0,0.0,6.5,3.196456,0.0
9886,mayo,Viernes,1995,1995-05-26,Johnny Mnemonic,380.0,19075720.0,25000000.0,5.5,11.715868,0.7630288
9482,junio,Viernes,1995,1995-06-30,Judge Dredd,643.0,113493481.0,90000000.0,5.4,8.184815,1.2610386777777778
19326,abril,Miércoles,1995,1995-04-12,Jury Duty,34.0,17014653.0,0.0,4.0,3.676921,0.0
9344,julio,Viernes,1995,1995-07-28,Kids,280.0,7412216.0,1500000.0,6.8,4.877872,4.941477333333333
9071,enero,Viernes,1995,1995-01-20,Living in Oblivion,64.0,1148752.0,500000.0,7.2,10.058329,2.297504
8973,agosto,Viernes,1995,1995-08-25,Lord of Illusions,87.0,0.0,0.0,5.9,4.102409,0.0
15730,mayo,Jueves,1993,1993-05-20,Love & Human Remains,7.0,0.0,0.0,7.0,0.354014,0.0
47608,mayo,Viernes,1995,1995-05-26,Mad Love,27.0,15453274.0,0.0,5.5,2.624771,0.0
2293,octubre,Viernes,1995,1995-10-20,Mallrats,400.0,2122561.0,6000000.0,6.8,8.25547,0.35376016666666665
9070,junio,Viernes,1995,1995-06-30,Mighty Morphin Power Rangers: The Movie,153.0,66000000.0,15000000.0,5.2,7.024227,4.4
68274,septiembre,Viernes,1995,1995-09-29,Moonlight and Valentino,10.0,0.0,0.0,5.6,1.01115,0.0
48787,septiembre,Jueves,1995,1995-09-28,Mute Witness,36.0,1.0,2.0,6.4,2.466066,0.5
34574,septiembre,Martes,1994,1994-09-13,Nadja,12.0,0.0,0.0,5.9,7.720056,0.0
1642,julio,Viernes,1995,1995-07-28,The Net,359.0,110627965.0,22000000.0,5.6,13.304342,5.028543863636363
11472,julio,Miércoles,1995,1995-07-12,Nine Months,171.0,69660733.0,0.0,5.5,8.482834,0.0
36196,junio,Viernes,1995,1995-06-09,Party Girl,14.0,472370.0,150000.0,5.8,1.165039,3.1491333333333333
11980,septiembre,Viernes,1995,1995-09-01,The Prophecy,139.0,16.0,8.0,6.4,10.187623,2.0
58372,noviembre,Viernes,1995,1995-11-17,Reckless,1.0,0.0,0.0,10.0,0.119713,0.0
32646,junio,Viernes,1995,1995-06-23,Safe,62.0,0.0,0.0,7.2,8.180047,0.0
10533,octubre,Viernes,1995,1995-10-13,The Scarlet Letter,111.0,10382407.0,50000000.0,5.5,6.752119,0.20764814
56088,agosto,Viernes,1995,1995-08-25,The Show,2.0,0.0,0.0,5.3,0.159596,0.0
10802,septiembre,Viernes,1995,1995-09-22,Showgirls,261.0,20350754.0,45000000.0,4.9,17.502375,0.4522389777777778
10149,junio,Viernes,1995,1995-06-09,Smoke,115.0,8349430.0,7000000.0,7.2,5.552946,1.1927757142857143
18402,agosto,Viernes,1995,1995-08-04,Something to Talk About,60.0,50892160.0,0.0,5.7,3.743212,0.0
9348,julio,Viernes,1995,1995-07-07,Species,457.0,113374103.0,35000000.0,5.5,13.492845,3.2392600857142857
139408,septiembre,Viernes,1995,1995-09-15,The Stars Fell on Henrietta,6.0,0.0,0.0,6.6,0.913522,0.0
281,octubre,Viernes,1995,1995-10-13,Strange Days,334.0,7959291.0,42000000.0,6.8,11.223055,0.18950692857142856
5967,febrero,Miércoles,1964,1964-02-19,The Umbrellas of Cherbourg,119.0,0.0,0.0,7.6,8.133881,0.0
79593,septiembre,Viernes,1995,1995-09-08,The Tie That Binds,9.0,5780000.0,14000000.0,4.6,1.820419,0.41285714285714287
47939,octubre,Viernes,1995,1995-10-27,Three Wishes,18.0,7025496.0,0.0,6.1,11.002046,0.0
36834,noviembre,Jueves,1995,1995-11-02,Total Eclipse,112.0,339889.0,0.0,6.5,4.546552,0.0
9090,septiembre,Jueves,1995,1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,47774193.0,0.0,6.3,7.653446,0.0
3512,julio,Jueves,1995,1995-07-13,Under Siege 2: Dark Territory,217.0,104324083.0,60000000.0,5.6,7.490247,1.7387347166666667
52856,septiembre,Viernes,1995,1995-09-15,Unstrung Heroes,9.0,0.0,0.0,6.4,2.881689,0.0
77350,agosto,Viernes,1995,1995-08-11,Unzipped,6.0,0.0,0.0,6.0,0.786023,0.0
9560,agosto,Viernes,1995,1995-08-11,A Walk in the Clouds,168.0,50012507.0,20000000.0,6.5,9.715639,2.50062535
9804,julio,Viernes,1995,1995-07-28,Waterworld,1017.0,264218220.0,175000000.0,5.9,16.885184,1.5098184
31611,diciembre,Viernes,1995,1995-12-01,White Man's Burden,25.0,0.0,8000000.0,5.1,1.834099,0.0
65796,diciembre,Viernes,1995,1995-12-01,Wild Bill,27.0,0.0,30000000.0,5.9,8.922139,0.0
49805,octubre,Miércoles,1994,1994-10-12,The Browning Version,11.0,0.0,0.0,6.0,3.727644,0.0
26258,agosto,Viernes,1995,1995-08-04,Bushwhacked,29.0,0.0,0.0,4.9,3.287036,0.0
50797,mayo,Domingo,1994,1994-05-01,Burnt by the Sun,35.0,2616503.0,2800000.0,6.7,2.486073,0.9344653571428572
19155,junio,Jueves,1994,1994-06-09,Before the Rain,45.0,763847.0,0.0,7.7,3.525649,0.0
76,enero,Viernes,1995,1995-01-27,Before Sunrise,984.0,5535405.0,2500000.0,7.7,11.304979,2.214162
11017,febrero,Viernes,1995,1995-02-10,Billy Madison,464.0,26488734.0,10000000.0,6.2,6.638116,2.6488734
37141,octubre,Martes,1995,1995-10-17,The Babysitter,27.0,0.0,0.0,4.7,2.761837,0.0
9382,febrero,Viernes,1995,1995-02-03,Boys on the Side,48.0,23450000.0,21000000.0,6.3,3.030309,1.1166666666666667
6715,abril,Viernes,1995,1995-04-21,The Cure,58.0,0.0,0.0,7.2,2.686342,0.0
18256,agosto,Viernes,1995,1995-08-04,Castle Freak,40.0,0.0,0.0,5.8,2.26977,0.0
22625,marzo,Jueves,1995,1995-03-16,Circle of Friends,30.0,0.0,0.0,6.5,2.605521,0.0
2292,septiembre,Martes,1994,1994-09-13,Clerks,769.0,3151130.0,27000.0,7.4,10.513367,116.70851851851852
1909,octubre,Sábado,1994,1994-10-01,Don Juan DeMarco,184.0,22200000.0,25000000.0,6.3,7.438934,0.888
8984,diciembre,Viernes,1994,1994-12-09,Disclosure,217.0,214015089.0,55000000.0,5.9,11.812244,3.891183436363636
61813,enero,Domingo,1995,1995-01-01,Dream Man,1.0,0.0,0.0,2.5,0.155859,0.0
4954,diciembre,Jueves,1994,1994-12-08,Drop Zone,91.0,0.0,45000000.0,5.1,9.579155,0.0
62488,abril,Viernes,1995,1995-04-28,Destiny Turns on the Radio,9.0,0.0,0.0,5.3,0.710671,0.0
10531,mayo,Miércoles,1994,1994-05-04,Death and the Maiden,92.0,0.0,0.0,7.1,5.484156,0.0
11929,marzo,Viernes,1995,1995-03-24,Dolores Claiborne,183.0,0.0,0.0,7.1,5.8025,0.0
8467,diciembre,Viernes,1994,1994-12-16,Dumb and Dumber,1894.0,247275374.0,16000000.0,6.5,9.844558,15.454710875
10451,agosto,Miércoles,1994,1994-08-03,Eat Drink Man Woman,76.0,7294403.0,0.0,7.5,4.860016,0.0
20156,septiembre,Sábado,1994,1994-09-24,Exotica,64.0,0.0,0.0,6.5,5.378467,0.0
18395,octubre,Viernes,1994,1994-10-14,Exit to Eden,28.0,6841570.0,0.0,4.3,4.322726,0.0
522,septiembre,Martes,1994,1994-09-27,Ed Wood,639.0,5887457.0,18000000.0,7.3,11.720358,0.32708094444444447
397,mayo,Viernes,1995,1995-05-05,French Kiss,179.0,0.0,0.0,6.2,9.146544,0.0
10525,mayo,Viernes,1995,1995-05-19,Forget Paris,38.0,0.0,0.0,6.1,16.236745,0.0
27985,enero,Viernes,1995,1995-01-13,Far from Home: The Adventures of Yellow Dog,27.0,0.0,0.0,5.6,2.657337,0.0
15789,abril,Viernes,1995,1995-04-07,A Goofy Movie,404.0,35348597.0,0.0,6.7,10.177977,0.0
